notice_name,document_number,document_date,organization,url,match_reason
宅地造成等規制法等の改正について（技術的助言）,国都開第一二号,2006-09-29,国土交通省都市・地域整備局開発企画調査室,http://www.mlit.go.jp/notice/noticedata/pdf/200612/00004781.pdf,strong_accept: 宅地造成
建築材料から石綿を飛散させるおそれがないものとして石綿が添加された建築材料を被覆し又は添加された石綿を建築材料に固着する措置について国土交通大臣が定める基準を定める件,国土交通省告示第千百七十三号,2006-09-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006542.pdf,priority_accept_org: 建築指導課
石綿等をあらかじめ添加した建築材料で石綿等を飛散又は発散させるおそれがないものを定める件,国土交通省告示第千百七十二号,2006-09-26,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006541.pdf,priority_accept_org: 建築指導課
容積率制限に係る特例制度の活用について,国住街第二九二号,2006-03-29,国土交通省住宅局市街地建築課,http://www.mlit.go.jp/notice/noticedata/pdf/200701/00004792.pdf,strong_accept: 容積率
住宅紛争処理の参考となるべき技術的基準,国土交通省告示第308号,2006-02-23,国土交通省住宅局　参事官（住宅瑕疵担保対策担当）付コクドコウツウショウ,https://www.mlit.go.jp/notice/noticedata/pdf/20230530/00220230526.docx,strong_accept: 住宅瑕疵担保
建築行政の的確な執行体制の確保について,国住指第二七四三号,2006-02-01,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/200603/00004730.pdf,priority_accept_org: 建築指導課
建築物の耐震改修の促進に関する法律第十七条第三項第一号の規定に基づき地震に対する安全上耐震関係規定に準ずるものとして定める基準,国土交通省告示第百八十五号,2006-01-25,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006644.pdf,priority_accept_org: 建築指導課
建築物の耐震診断及び耐震改修の促進を図るための基本的な方針,国土交通省告示第百八十四号,2006-01-25,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006643.pdf,priority_accept_org: 建築指導課
昇降機の昇降路内に設けることができる配管設備の構造方法を定める件,国土交通省告示第五百七十号,2005-06-01,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006540.pdf,priority_accept_org: 建築指導課
建築物の倒壊及び崩落、屋根ふき材、特定天井、外装材及び屋外に面する帳壁の脱落並びにエレベーターの籠の落下及びエスカレーターの脱落のおそれがない建築物の構造方法に関する基準並びに建築物の基礎の補強に関する基準を定める件,国土交通省告示第五百六十六号,2005-06-01,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006539.pdf,priority_accept_org: 建築指導課
建築基準法施行令第百三十条の九の四第二号ロの規定により国土交通大臣が定める基準,国土交通省告示第三百五十九号,2005-03-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006538.pdf,priority_accept_org: 建築指導課
煙突の上又は周囲にたまるほこりを煙突内の廃ガスその他の生成物の熱により燃焼させない煙突の小屋裏、天井裏、床裏等にある部分の構造方法を定める件,国土交通省告示第千百六十八号,2004-09-29,国土交通省住宅局建築指導課,http://www.mlit.go.jp/notice/noticedata/pdf/201703/00006536.pdf,priority_accept_org: 建築指導課
